Country,Year,Policy,Investment (Million USD),Regulations
Japan,2000,Water conservation policy level 2,6052.57,"['Agriculture', 'Industry', 'Household']"
Japan,2001,Water conservation policy level 2,5494.27,"['Agriculture', 'Industry', 'Household']"
Japan,2002,Water conservation policy level 2,4990.58,"['Agriculture', 'Industry', 'Household']"
Japan,2003,Water conservation policy level 2,5603.56,"['Agriculture', 'Industry', 'Household']"
Japan,2004,Water conservation policy level 2,4375.05,"['Agriculture', 'Industry', 'Household']"
Japan,2005,Water conservation policy level 2,4560.6,"['Industry', 'Household']"
Japan,2006,Water conservation policy level 2,4632.4,"['Agriculture', 'Industry', 'Household']"
Japan,2007,Water conservation policy level 1,4027.14,"['Agriculture', 'Industry', 'Household']"
Japan,2008,Water conservation policy level 1,3929.17,"['Agriculture', 'Industry', 'Household']"
Japan,2009,Water conservation policy level 2,6106.5,"['Agriculture', 'Industry', 'Household']"
Japan,2010,Water conservation policy level 2,4416.04,"['Agriculture', 'Industry', 'Household']"
Japan,2011,Water conservation policy level 2,5597.0,"['Agriculture', 'Industry', 'Household']"
Japan,2012,Water conservation policy level 2,5263.75,"['Agriculture', 'Industry', 'Household']"
Japan,2013,Water conservation policy level 1,4761.54,"['Agriculture', 'Industry', 'Household']"
Japan,2014,Water conservation policy level 2,5365.09,"['Agriculture', 'Industry', 'Household']"
Japan,2015,Water conservation policy level 2,4105.64,"['Agriculture', 'Industry', 'Household']"
Japan,2016,Water conservation policy level 2,6158.71,"['Agriculture', 'Industry', 'Household']"
Japan,2017,Water conservation policy level 2,5760.42,"['Agriculture', 'Industry', 'Household']"
Japan,2018,Water conservation policy level 2,6643.88,"['Industry', 'Household']"
Japan,2019,Water conservation policy level 2,5828.72,"['Agriculture', 'Industry', 'Household']"
Japan,2020,Water conservation policy level 1,2118.17,"['Agriculture', 'Industry', 'Household']"
Japan,2021,Water conservation policy level 2,4233.77,"['Agriculture', 'Industry', 'Household']"
Japan,2022,Water conservation policy level 2,6151.54,"['Agriculture', 'Industry', 'Household']"
Japan,2023,Water conservation policy level 2,3456.94,"['Agriculture', 'Industry', 'Household']"
Japan,2024,Water conservation policy level 1,6223.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2000,Water conservation policy level 2,5290.33,"['Agriculture', 'Industry', 'Household']"
Mexico,2001,Water conservation policy level 2,4717.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2002,Water conservation policy level 2,2790.71,"['Agriculture', 'Industry', 'Household']"
Mexico,2003,Water conservation policy level 2,5040.66,"['Agriculture', 'Industry', 'Household']"
Mexico,2004,Water conservation policy level 2,5243.08,"['Agriculture', 'Industry', 'Household']"
Mexico,2005,Water conservation policy level 1,5110.57,"['Agriculture', 'Industry', 'Household']"
Mexico,2006,Water conservation policy level 2,4478.1,"['Agriculture', 'Industry', 'Household']"
Mexico,2007,Water conservation policy level 2,5272.19,"['Agriculture', 'Industry', 'Household']"
Mexico,2008,Water conservation policy level 2,4814.03,"['Agriculture', 'Industry', 'Household']"
Mexico,2009,Water conservation policy level 2,3904.12,"['Agriculture', 'Industry', 'Household']"
Mexico,2010,Water conservation policy level 2,3822.94,"['Agriculture', 'Industry', 'Household']"
Mexico,2011,Water conservation policy level 2,4952.06,"['Agriculture', 'Industry', 'Household']"
Mexico,2012,Water conservation policy level 3,5000.88,"['Agriculture', 'Industry', 'Household']"
Mexico,2013,Water conservation policy level 2,4035.38,"['Agriculture', 'Industry', 'Household']"
Mexico,2014,Water conservation policy level 2,5467.51,"['Agriculture', 'Industry', 'Household']"
Mexico,2015,Water conservation policy level 2,4701.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2016,Water conservation policy level 2,3853.89,"['Agriculture', 'Industry', 'Household']"
Mexico,2017,Water conservation policy level 2,5271.43,"['Agriculture', 'Industry', 'Household']"
Mexico,2018,Water conservation policy level 2,6546.23,"['Agriculture', 'Industry', 'Household']"
Mexico,2019,Water conservation policy level 2,4800.16,"['Agriculture', 'Industry', 'Household']"
Mexico,2020,Water conservation policy level 2,5589.77,"['Agriculture', 'Industry', 'Household']"
Mexico,2021,Water conservation policy level 2,5333.41,"['Agriculture', 'Industry', 'Household']"
Mexico,2022,Water conservation policy level 2,4976.98,"['Agriculture', 'Industry', 'Household']"
Mexico,2023,Water conservation policy level 2,5040.63,"['Agriculture', 'Industry', 'Household']"
Mexico,2024,Water conservation policy level 2,4525.79,"['Agriculture', 'Industry', 'Household']"
Russia,2000,Water conservation policy level 2,5449.99,"['Agriculture', 'Industry', 'Household']"
Russia,2001,Water conservation policy level 2,6292.13,"['Agriculture', 'Industry', 'Household']"
Russia,2002,Water conservation policy level 2,4871.86,"['Agriculture', 'Industry', 'Household']"
Russia,2003,Water conservation policy level 2,5623.41,"['Agriculture', 'Industry', 'Household']"
Russia,2004,Water conservation policy level 2,5551.5,"['Agriculture', 'Industry', 'Household']"
Russia,2005,Water conservation policy level 2,4279.84,"['Agriculture', 'Industry', 'Household']"
Russia,2006,Water conservation policy level 2,6140.4,"['Agriculture', 'Industry', 'Household']"
Russia,2007,Water conservation policy level 2,5526.41,"['Agriculture', 'Industry', 'Household']"
Russia,2008,Water conservation policy level 1,6083.67,"['Agriculture', 'Industry', 'Household']"
Russia,2009,Water conservation policy level 2,4726.7,"['Agriculture', 'Industry', 'Household']"
Russia,2010,Water conservation policy level 2,3754.8,"['Agriculture', 'Industry', 'Household']"
Russia,2011,Water conservation policy level 2,4584.71,"['Agriculture', 'Industry', 'Household']"
Russia,2012,Water conservation policy level 2,5428.11,"['Agriculture', 'Industry', 'Household']"
Russia,2013,Water conservation policy level 2,4380.29,"['Agriculture', 'Industry', 'Household']"
Russia,2014,Water conservation policy level 2,6126.4,"['Agriculture', 'Industry', 'Household']"
Russia,2015,Water conservation policy level 2,4775.32,"['Agriculture', 'Industry', 'Household']"
Russia,2016,Water conservation policy level 1,4605.15,"['Agriculture', 'Industry', 'Household']"
Russia,2017,Water conservation policy level 2,3823.33,"['Agriculture', 'Industry', 'Household']"
Russia,2018,Water conservation policy level 2,4907.21,"['Agriculture', 'Industry', 'Household']"
Russia,2019,Water conservation policy level 2,3538.0,"['Agriculture', 'Industry', 'Household']"
Russia,2020,Water conservation policy level 1,5204.75,"['Agriculture', 'Industry', 'Household']"
Russia,2021,Water conservation policy level 2,3735.91,"['Agriculture', 'Industry', 'Household']"
Russia,2022,Water conservation policy level 2,4624.53,"['Agriculture', 'Industry', 'Household']"
Russia,2023,Water conservation policy level 2,4817.19,"['Agriculture', 'Industry', 'Household']"
Russia,2024,Water conservation policy level 2,5003.65,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2000,Water conservation policy level 2,5641.4,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2001,Water conservation policy level 2,5134.09,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2002,Water conservation policy level 2,4177.51,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2003,Water conservation policy level 2,4125.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2004,Water conservation policy level 2,5815.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2005,Water conservation policy level 2,5598.66,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2006,Water conservation policy level 2,5223.8,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2007,Water conservation policy level 1,5379.62,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2008,Water conservation policy level 2,5834.1,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2009,Water conservation policy level 2,5518.96,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2010,Water conservation policy level 2,5727.58,"['Industry', 'Household']"
Saudi Arabia,2011,Water conservation policy level 1,5044.67,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2012,Water conservation policy level 2,5847.36,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2013,Water conservation policy level 2,4349.01,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2014,Water conservation policy level 2,5383.66,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2015,Water conservation policy level 2,5662.39,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2016,Water conservation policy level 2,3499.29,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2017,Water conservation policy level 2,6163.83,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2018,Water conservation policy level 2,4451.07,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2019,Water conservation policy level 2,3550.57,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2020,Water conservation policy level 2,5380.7,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2021,Water conservation policy level 2,4684.48,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2022,Water conservation policy level 2,5864.78,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2023,Water conservation policy level 2,6049.8,"['Agriculture', 'Industry', 'Household']"
Saudi Arabia,2024,Water conservation policy level 2,5552.49,"['Industry', 'Household']"
South Africa,2000,Water conservation policy level 2,5648.96,"['Agriculture', 'Industry', 'Household']"
South Africa,2001,Water conservation policy level 2,4838.18,"['Agriculture', 'Industry', 'Household']"
South Africa,2002,Water conservation policy level 2,5525.67,"['Agriculture', 'Industry', 'Household']"
South Africa,2003,Water conservation policy level 2,4382.54,"['Agriculture', 'Industry', 'Household']"
South Africa,2004,Water conservation policy level 2,6469.52,"['Agriculture', 'Industry', 'Household']"
South Africa,2005,Water conservation policy level 2,4297.35,"['Agriculture', 'Industry', 'Household']"
South Africa,2006,Water conservation policy level 2,4484.66,"['Agriculture', 'Industry', 'Household']"
South Africa,2007,Water conservation policy level 2,5028.68,"['Agriculture', 'Industry', 'Household']"
South Africa,2008,Water conservation policy level 2,6205.03,"['Agriculture', 'Industry', 'Household']"
South Africa,2009,Water conservation policy level 2,4205.49,"['Agriculture', 'Industry', 'Household']"
South Africa,2010,Water conservation policy level 2,4880.43,"['Agriculture', 'Industry', 'Household']"
South Africa,2011,Water conservation policy level 1,3724.61,"['Agriculture', 'Industry', 'Household']"
South Africa,2012,Water conservation policy level 2,4279.31,"['Agriculture', 'Industry', 'Household']"
South Africa,2013,Water conservation policy level 2,6619.17,"['Agriculture', 'Industry', 'Household']"
South Africa,2014,Water conservation policy level 2,5145.02,"['Agriculture', 'Industry', 'Household']"
South Africa,2015,Water conservation policy level 2,5247.8,"['Agriculture', 'Industry', 'Household']"
South Africa,2016,Water conservation policy level 2,5574.92,"['Agriculture', 'Industry', 'Household']"
South Africa,2017,Water conservation policy level 2,5651.66,"['Agriculture', 'Industry', 'Household']"
South Africa,2018,Water conservation policy level 2,5452.21,"['Agriculture', 'Industry', 'Household']"
South Africa,2019,Water conservation policy level 2,4139.89,"['Agriculture', 'Industry', 'Household']"
South Africa,2020,Water conservation policy level 2,4671.55,"['Industry', 'Household']"
South Africa,2021,Water conservation policy level 2,4062.18,"['Agriculture', 'Industry', 'Household']"
South Africa,2022,Water conservation policy level 2,4427.41,"['Agriculture', 'Industry', 'Household']"
South Africa,2023,Water conservation policy level 2,5389.69,"['Agriculture', 'Industry', 'Household']"
South Africa,2024,Water conservation policy level 2,5097.36,"['Agriculture', 'Industry', 'Household']"
South Korea,2000,Water conservation policy level 2,4478.76,"['Agriculture', 'Industry', 'Household']"
South Korea,2001,Water conservation policy level 2,3779.75,"['Agriculture', 'Industry', 'Household']"
South Korea,2002,Water conservation policy level 1,4897.24,"['Agriculture', 'Industry', 'Household']"
South Korea,2003,Water conservation policy level 2,6153.55,"['Agriculture', 'Industry', 'Household']"
South Korea,2004,Water conservation policy level 2,5159.52,"['Agriculture', 'Industry', 'Household']"
South Korea,2005,Water conservation policy level 2,5082.75,"['Agriculture', 'Industry', 'Household']"
South Korea,2006,Water conservation policy level 2,4458.14,"['Agriculture', 'Industry', 'Household']"
South Korea,2007,Water conservation policy level 2,4949.93,"['Agriculture', 'Industry', 'Household']"
South Korea,2008,Water conservation policy level 2,5096.04,"['Agriculture', 'Industry', 'Household']"
South Korea,2009,Water conservation policy level 1,4377.11,"['Agriculture', 'Industry', 'Household']"
South Korea,2010,Water conservation policy level 2,6050.89,"['Agriculture', 'Industry', 'Household']"
South Korea,2011,Water conservation policy level 2,3977.36,"['Agriculture', 'Industry', 'Household']"
South Korea,2012,Water conservation policy level 2,5631.54,"['Agriculture', 'Industry', 'Household']"
South Korea,2013,Water conservation policy level 2,4774.83,"['Agriculture', 'Industry', 'Household']"
South Korea,2014,Water conservation policy level 2,5026.02,"['Agriculture', 'Industry', 'Household']"
South Korea,2015,Water conservation policy level 2,2838.38,"['Agriculture', 'Industry', 'Household']"
South Korea,2016,Water conservation policy level 1,4698.24,"['Agriculture', 'Industry', 'Household']"
South Korea,2017,Water conservation policy level 2,4854.55,"['Agriculture', 'Industry', 'Household']"
South Korea,2018,Water conservation policy level 2,4463.97,"['Agriculture', 'Industry', 'Household']"
South Korea,2019,Water conservation policy level 2,6003.44,"['Agriculture', 'Industry', 'Household']"
South Korea,2020,Water conservation policy level 2,6252.99,"['Agriculture', 'Industry', 'Household']"
South Korea,2021,Water conservation policy level 2,4448.05,"['Agriculture', 'Industry', 'Household']"
South Korea,2022,Water conservation policy level 2,5835.42,"['Agriculture', 'Industry', 'Household']"
South Korea,2023,Water conservation policy level 2,2952.34,"['Agriculture', 'Industry', 'Household']"
South Korea,2024,Water conservation policy level 1,5607.87,"['Agriculture', 'Industry', 'Household']"
Spain,2000,Water conservation policy level 2,5291.45,"['Agriculture', 'Industry', 'Household']"
Spain,2001,Water conservation policy level 2,3640.55,"['Agriculture', 'Industry', 'Household']"
Spain,2002,Water conservation policy level 1,4565.17,"['Agriculture', 'Industry', 'Household']"
Spain,2003,Water conservation policy level 2,5636.75,"['Agriculture', 'Industry', 'Household']"
Spain,2004,Water conservation policy level 2,6362.82,"['Agriculture', 'Industry', 'Household']"
Spain,2005,Water conservation policy level 1,4252.67,"['Agriculture', 'Industry', 'Household']"
Spain,2006,Water conservation policy level 2,5859.82,"['Agriculture', 'Industry', 'Household']"
Spain,2007,Water conservation policy level 2,4469.08,"['Agriculture', 'Industry', 'Household']"
Spain,2008,Water conservation policy level 2,6210.84,"['Agriculture', 'Industry', 'Household']"
Spain,2009,Water conservation policy level 2,4488.82,"['Agriculture', 'Industry', 'Household']"
Spain,2010,Water conservation policy level 2,2986.33,"['Agriculture', 'Industry', 'Household']"
Spain,2011,Water conservation policy level 2,4369.8,"['Agriculture', 'Industry', 'Household']"
Spain,2012,Water conservation policy level 2,4347.2,"['Agriculture', 'Industry', 'Household']"
Spain,2013,Water conservation policy level 2,4561.34,"['Agriculture', 'Industry', 'Household']"
Spain,2014,Water conservation policy level 2,3873.22,"['Agriculture', 'Industry', 'Household']"
Spain,2015,Water conservation policy level 2,3954.14,"['Agriculture', 'Industry', 'Household']"
Spain,2016,Water conservation policy level 2,4089.6,"['Agriculture', 'Industry', 'Household']"
Spain,2017,Water conservation policy level 2,4417.81,"['Agriculture', 'Industry', 'Household']"
Spain,2018,Water conservation policy level 2,5545.89,"['Agriculture', 'Industry', 'Household']"
Spain,2019,Water conservation policy level 2,5672.76,"['Agriculture', 'Industry', 'Household']"
Spain,2020,Water conservation policy level 2,4757.22,"['Agriculture', 'Industry', 'Household']"
Spain,2021,Water conservation policy level 2,4694.18,"['Agriculture', 'Industry', 'Household']"
Spain,2022,Water conservation policy level 2,4339.58,"['Agriculture', 'Industry', 'Household']"
Spain,2023,Water conservation policy level 2,4108.9,"['Agriculture', 'Industry', 'Household']"
Spain,2024,Water conservation policy level 2,5469.82,"['Agriculture', 'Industry', 'Household']"
Turkey,2000,Water conservation policy level 2,6212.65,"['Agriculture', 'Industry', 'Household']"
Turkey,2001,Water conservation policy level 2,3724.17,"['Agriculture', 'Industry', 'Household']"
Turkey,2002,Water conservation policy level 2,3646.34,"['Agriculture', 'Industry', 'Household']"
Turkey,2003,Water conservation policy level 1,3261.13,"['Agriculture', 'Industry', 'Household']"
Turkey,2004,Water conservation policy level 2,5802.01,"['Agriculture', 'Industry', 'Household']"
Turkey,2005,Water conservation policy level 1,2502.16,"['Agriculture', 'Industry', 'Household']"
Turkey,2006,Water conservation policy level 2,2385.78,"['Agriculture', 'Industry', 'Household']"
Turkey,2007,Water conservation policy level 2,5075.28,"['Agriculture', 'Industry', 'Household']"
Turkey,2008,Water conservation policy level 2,5610.42,"['Agriculture', 'Industry', 'Household']"
Turkey,2009,Water conservation policy level 2,5885.59,"['Agriculture', 'Industry', 'Household']"
Turkey,2010,Water conservation policy level 2,5594.48,"['Agriculture', 'Industry', 'Household']"
Turkey,2011,Water conservation policy level 2,6567.47,"['Agriculture', 'Industry', 'Household']"
Turkey,2012,Water conservation policy level 2,5285.62,"['Agriculture', 'Industry', 'Household']"
Turkey,2013,Water conservation policy level 2,4864.73,"['Agriculture', 'Industry', 'Household']"
Turkey,2014,Water conservation policy level 2,3336.07,"['Agriculture', 'Industry', 'Household']"
Turkey,2015,Water conservation policy level 2,5194.17,"['Agriculture', 'Industry', 'Household']"
Turkey,2016,Water conservation policy level 2,5464.85,"['Agriculture', 'Industry', 'Household']"
Turkey,2017,Water conservation policy level 2,6002.93,"['Agriculture', 'Industry', 'Household']"
Turkey,2018,Water conservation policy level 2,3483.94,"['Agriculture', 'Industry', 'Household']"
Turkey,2019,Water conservation policy level 2,4541.37,"['Agriculture', 'Industry', 'Household']"
Turkey,2020,Water conservation policy level 1,3165.15,"['Agriculture', 'Industry', 'Household']"
Turkey,2021,Water conservation policy level 2,4948.12,"['Agriculture', 'Industry', 'Household']"
Turkey,2022,Water conservation policy level 2,4942.05,"['Agriculture', 'Industry', 'Household']"
Turkey,2023,Water conservation policy level 2,5897.18,"['Agriculture', 'Industry', 'Household']"
Turkey,2024,Water conservation policy level 2,5432.17,"['Agriculture', 'Industry', 'Household']"
UK,2000,Water conservation policy level 1,5119.78,"['Agriculture', 'Industry', 'Household']"
UK,2001,Water conservation policy level 2,6237.29,"['Agriculture', 'Industry', 'Household']"
UK,2002,Water conservation policy level 2,5536.77,"['Agriculture', 'Industry', 'Household']"
UK,2003,Water conservation policy level 2,4618.7,"['Agriculture', 'Industry', 'Household']"
UK,2004,Water conservation policy level 2,3251.32,"['Industry', 'Household']"
UK,2005,Water conservation policy level 2,3668.3,"['Agriculture', 'Industry', 'Household']"
UK,2006,Water conservation policy level 2,4169.65,"['Agriculture', 'Industry', 'Household']"
UK,2007,Water conservation policy level 2,4132.12,"['Agriculture', 'Industry', 'Household']"
UK,2008,Water conservation policy level 2,5733.3,"['Agriculture', 'Industry', 'Household']"
UK,2009,Water conservation policy level 3,3328.97,"['Agriculture', 'Industry', 'Household']"
UK,2010,Water conservation policy level 2,6334.36,"['Agriculture', 'Industry', 'Household']"
UK,2011,Water conservation policy level 2,5405.67,"['Agriculture', 'Industry', 'Household']"
UK,2012,Water conservation policy level 2,5830.28,"['Agriculture', 'Industry', 'Household']"
UK,2013,Water conservation policy level 2,4700.37,"['Agriculture', 'Industry', 'Household']"
UK,2014,Water conservation policy level 2,4027.33,"['Agriculture', 'Industry', 'Household']"
UK,2015,Water conservation policy level 2,5238.28,"['Agriculture', 'Industry', 'Household']"
UK,2016,Water conservation policy level 2,3945.87,"['Agriculture', 'Industry', 'Household']"
UK,2017,Water conservation policy level 2,3611.92,"['Agriculture', 'Industry', 'Household']"
UK,2018,Water conservation policy level 2,6284.71,"['Agriculture', 'Industry', 'Household']"
UK,2019,Water conservation policy level 2,4750.79,"['Agriculture', 'Industry', 'Household']"
UK,2020,Water conservation policy level 2,5533.33,"['Agriculture', 'Industry', 'Household']"
UK,2021,Water conservation policy level 2,5258.18,"['Agriculture', 'Industry', 'Household']"
UK,2022,Water conservation policy level 2,4719.31,"['Agriculture', 'Industry', 'Household']"
UK,2023,Water conservation policy level 2,5190.36,"['Agriculture', 'Industry', 'Household']"
UK,2024,Water conservation policy level 2,4987.79,"['Agriculture', 'Industry', 'Household']"
USA,2000,Water conservation policy level 1,6313.04,"['Agriculture', 'Industry', 'Household']"
USA,2001,Water conservation policy level 2,4451.73,"['Agriculture', 'Industry', 'Household']"
USA,2002,Water conservation policy level 2,6061.27,"['Agriculture', 'Industry', 'Household']"
USA,2003,Water conservation policy level 2,6017.73,"['Agriculture', 'Industry', 'Household']"
USA,2004,Water conservation policy level 2,6262.4,"['Agriculture', 'Industry', 'Household']"
USA,2005,Water conservation policy level 2,4657.65,"['Agriculture', 'Industry', 'Household']"
USA,2006,Water conservation policy level 2,4447.59,"['Agriculture', 'Industry', 'Household']"
USA,2007,Water conservation policy level 2,6496.29,"['Agriculture', 'Industry', 'Household']"
USA,2008,Water conservation policy level 1,5482.52,"['Agriculture', 'Industry', 'Household']"
USA,2009,Water conservation policy level 2,7436.71,"['Agriculture', 'Industry', 'Household']"
USA,2010,Water conservation policy level 1,6262.21,"['Agriculture', 'Industry', 'Household']"
USA,2011,Water conservation policy level 1,5569.67,"['Agriculture', 'Industry', 'Household']"
USA,2012,Water conservation policy level 2,5892.8,"['Agriculture', 'Industry', 'Household']"
USA,2013,Water conservation policy level 1,3187.9,"['Agriculture', 'Industry', 'Household']"
USA,2014,Water conservation policy level 1,4554.45,"['Agriculture', 'Industry', 'Household']"
USA,2015,Water conservation policy level 2,4515.46,"['Agriculture', 'Industry', 'Household']"
USA,2016,Water conservation policy level 2,5029.96,"['Agriculture', 'Industry', 'Household']"
USA,2017,Water conservation policy level 2,4315.05,"['Agriculture', 'Industry', 'Household']"
USA,2018,Water conservation policy level 2,5681.25,"['Agriculture', 'Industry', 'Household']"
USA,2019,Water conservation policy level 2,5478.64,"['Agriculture', 'Industry', 'Household']"
USA,2020,Water conservation policy level 2,4180.97,"['Agriculture', 'Industry', 'Household']"
USA,2021,Water conservation policy level 2,5720.94,"['Agriculture', 'Industry', 'Household']"
USA,2022,Water conservation policy level 2,4409.78,"['Agriculture', 'Industry', 'Household']"
USA,2023,Water conservation policy level 1,5668.65,"['Agriculture', 'Industry', 'Household']"
USA,2024,Water conservation policy level 1,2494.85,"['Agriculture', 'Industry', 'Household']"
